ShortName,FullName,LicensingAndAccreditation,EducationalServices,ReorganizationStatus,IDEKIS,Number,InstitutionsAddresses,INN,KPP,OGRN,LegalOrganization,Subordination,ChiefName,LegalAddress,global_id,PublicPhone,Email,WebSite,EducationPrograms,OrgType,NumberofStudentsInOO,TheContingentOfPreschoolersStudyingOO,geodata_center,geoarea
ГБОУДО им. А.В. Косарева,Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Центр творчества имени А.В. Косарева»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:нет
AccreditationSeries:
AccreditationNumber:
AccreditationExpires:

",,действующее,13433,,More then 1 level,7719106841,771901001,1037739289060,бюджетное,Городское подчинение ДОНМ,Горбунова Галина Александровна,"105215, ГОРОД МОСКВА, УЛИЦА ПАРКОВАЯ 5-Я, 60",658728250,"PublicPhone:(499) 164-47-19

","Email:crtd@edu.mos.ru

",crtd.mskobr.ru,Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,организация дополнительного образования,,,010100000092A8234D01E542405CE69E9E32E74B40,
ГБОУ ДО ЦДТ «Строгино»,Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Центр детского творчества «Строгино»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:нет
AccreditationSeries:
AccreditationNumber:
AccreditationExpires:

",,действующее,13253,,More then 1 level,7734626387,773401001,1097746801382,бюджетное,Городское подчинение ДОНМ,Корочина Татьяна Геннадьевна,"123592, г. Москва, Строгинский бульвар, дом 7, корпус 3",658728315,"PublicPhone:(495) 756-93-57

","Email:strogino@edu.mos.ru

",strogino.mskobr.ru,Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,организация дополнительного образования,,,010100000080947611FCB34240F0ECBFB30BE74B40,
ГБПОУ Юридический колледж,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Юридический колледж»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0005001
AccreditationExpires:06.04.2027

",,действующее,11659,,More then 1 level,7737066359,772401001,1027700439777,бюджетное,Городское подчинение ДОНМ,Самойлов Георгий Владимирович,"115569, ГОРОД МОСКВА, УЛИЦА ШИПИЛОВСКАЯ, 17, 1СТР.1",658728324,"PublicPhone:(495) 392-89-00

","Email:spo-uk@edu.mos.ru

",lawcol.mskobr.ru,Профессиональное образование | среднее профессиональное образование # Дополнительное образование | дополнительное профессиональное образование # Дополнительное образование | дополнительное образование взрослых,профессиональная образовательная организация,,,0101000000657D9918A6DA4240B6FDA0A35CCF4B40,
ГБОУДО ЗДТДиМ,Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Зеленоградский дворец творчества детей и молодежи»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:нет
AccreditationSeries:
AccreditationNumber:
AccreditationExpires:

",,действующее,13164,,More then 1 level,7735071709,773501001,1027739338615,бюджетное,Городское подчинение ДОНМ,Харитонова Ирина Алексеевна,"124575, ГОРОД МОСКВА, ГОРОД ЗЕЛЕНОГРАД, ПЛОЩАДЬ КОЛУМБА, ДОМ 1",658728335,"PublicPhone:(499) 731-14-61

","Email:zeldv@edu.mos.ru

",dvtdim.mskobr.ru,Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,организация дополнительного образования,,,0101000000429830DF37984240DA904EA673FE4B40,
ГБОУ ДО ДТДиМ «Севастополец»,Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Дворец творчества детей и молодежи «Севастополец»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:нет
AccreditationSeries:
AccreditationNumber:
AccreditationExpires:

",,действующее,12934,,More then 1 level,7727233787,772701001,1027727018307,бюджетное,Городское подчинение ДОНМ,Исхаков Александр Искандарович,"117218, ГОРОД МОСКВА, УЛИЦА ЧЕРЁМУШКИНСКАЯ Б., 38",658728348,"PublicPhone:(499) 124-86-22

","Email:dpish@edu.mos.ru

",dpish.mskobr.ru,Общее образование | дошкольное образование # Дополнительное образование | дополнительное образование детей,организация дополнительного образования,,,0101000000B0EF78664FCA4240514E9E5AE8D64B40,
ГБОУ ДО ДЮЦ «Виктория»,Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Детско-юношеский центр «Виктория»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:нет
AccreditationSeries:
AccreditationNumber:
AccreditationExpires:

",,действующее,13256,,More then 1 level,7724732065,772401001,1097746849408,бюджетное,Городское подчинение ДОНМ,Каневская Людмила Васильевна,"117405, ГОРОД МОСКВА, УЛИЦА ГАЗОПРОВОД, 4",886322372,"PublicPhone:(495) 381-78-43

","Email:viktoria@edu.mos.ru

",viktoria.mskobr.ru,Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,организация дополнительного образования,,,0101000000BEE1556FF5CD4240BDBFC48E5CCB4B40,
ГБОУ ДО ЦРТДЮ «Пресня»,Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Центр развития творчества детей и юношества «Пресня»,"LicenseAvailability:да
LicenseSeries:77Л01
LicenseNumber:0011721
LicenseExpires:бессрочная
AccreditationAvailability:нет
AccreditationSeries:
AccreditationNumber:
AccreditationExpires:

",,действующее,13257,,More then 1 level,7703021039,770301001,1027739680066,бюджетное,Городское подчинение ДОНМ,Хорец Владислав Анатольевич,"123242, ГОРОД МОСКВА, УЛИЦА ДРУЖИННИКОВСКАЯ, 9, СТР.2",904217886,"PublicPhone:(495) 605-74-15

","Email:presnia@edu.mos.ru

",presnia.mskobr.ru,Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,организация дополнительного образования,,,01010000009C99710926C9424076109B83F9E04B40,
ГАУДО «Домисолька»,Государственное автономное учреждение дополнительного образования города Москвы «Детский музыкальный театр «Домисолька»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:нет
AccreditationSeries:
AccreditationNumber:
AccreditationExpires:

",,действующее,13175,,More then 1 level,7734570529,773401001,1077760951916,автономное,Городское подчинение ДОНМ,Жиганов Иван Назибович,"123298, г. Москва, ул. Маршала Бирюзова, д. 5",908561038,"PublicPhone:(499) 198-09-92

","Email:domisolka@edu.mos.ru

",cdtt.mskobr.ru,Дополнительное образование | дополнительное образование детей,организация дополнительного образования,,,010100000076FD38CF0EC0424024E731E198E34B40,
ГАОУ ДПО ЦПМ,Государственное автономное образовательное учреждение дополнительного профессионального образования города Москвы «Центр педагогического мастерства»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:нет
AccreditationSeries:
AccreditationNumber:
AccreditationExpires:

",,действующее,13070,,More then 1 level,7725618950,770401001,1077761137222,автономное,Городское подчинение ДОНМ,Путимцев Дмитрий Александрович,"119270, ГОРОД МОСКВА, УЛИЦА ХАМОВНИЧЕСКИЙ ВАЛ, ДОМ 6",911869478,"PublicPhone:(499) 242-27-82

","Email:cpm@edu.mos.ru

",cpm.dogm.mos.ru,Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное профессиональное образование # Дополнительное образование | дополнительное образование взрослых,организация дополнительного профессионального образования,,,01010000007C543AFEC3C94240B6576911D2DB4B40,
ГБОУДО ЦДТ Замоскворечье,Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Центр детского творчества «Замоскворечье»,"LicenseAvailability:да
LicenseSeries:77Л01
LicenseNumber:0011823
LicenseExpires:бессрочная
AccreditationAvailability:нет
AccreditationSeries:
AccreditationNumber:
AccreditationExpires:

",,действующее,13455,,More then 1 level,7705041520,770501001,1037739012740,бюджетное,Городское подчинение ДОНМ,Тимофеева Марина Николаевна,"115054, ГОРОД МОСКВА, УЛИЦА БАХРУШИНА, 17, 1",911869481,"PublicPhone:(499) 235-59-28

","Email:moskv@edu.mos.ru

",moskvorechie.mskobr.ru,Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,организация дополнительного образования,,,0101000000FBC69D7860D1424074518D6E1ADE4B40,
ГБОУДО ЦВР «Синегория»,Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Центр внешкольной работы «Синегория»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:нет
AccreditationSeries:
AccreditationNumber:
AccreditationExpires:

",,действующее,13422,,More then 1 level,7731263128,773101001,1037700179956,бюджетное,Городское подчинение ДОНМ,Хмелькова Ольга Александровна,"121359, ГОРОД МОСКВА, УЛИЦА ПАРТИЗАНСКАЯ, 45",926275139,"PublicPhone:(499) 141-04-07

","Email:sinegoriya@edu.mos.ru

",sinegoriya.mskobr.ru,Общее образование | основное общее образование # Общее образование | среднее общее образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,организация дополнительного образования,,,01010000003E965C7438B14240DFA81A5F8DDC4B40,
ГБПОУ Московский техникум креативных индустрий им. Л.Б. Красина,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московский техникум креативных индустрий им. Л.Б. Красина»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004917
AccreditationExpires:04.06.2024

",,действующее,14238,,More then 1 level,7725281915,772501001,1157746677362,бюджетное,Городское подчинение ДОНМ,Табатадзе Лиана Мурмановна,"115280, ГОРОД МОСКВА, УЛИЦА ВЕЛОЗАВОДСКАЯ, ДОМ 8",1016692074,"PublicPhone:(495) 675-09-24

","Email:krasina@edu.mos.ru

",krasina.mskobr.ru,Профессиональное обучение # Профессиональное образование | среднее профессиональное образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное профессиональное образование # Дополнительное образование | дополнительное образование взрослых,профессиональная образовательная организация,,,0101000000ACE66F66B0CC42400A4441C4B4CC4B40,
ГБОУ ДО ДТДМ на Миусах,Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Дворец творчества детей и молодёжи на Миусах»,"LicenseAvailability:да
LicenseSeries:77Л01
LicenseNumber:0012143
LicenseExpires:бессрочная
AccreditationAvailability:нет
AccreditationSeries:
AccreditationNumber:
AccreditationExpires:

",,действующее,14316,,More then 1 level,7710929858,771001001,1127747287832,бюджетное,Городское подчинение ДОНМ,Коровацкая Ольга Николаевна,"125047, ГОРОД МОСКВА, УЛИЦА АЛЕКСАНДРА НЕВСКОГО, 4",1035794175,"PublicPhone:(499) 250-55-28

","Email:cdt@edu.mos.ru

",cdt.mskobr.ru,Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,организация дополнительного образования,,,0101000000003DA710CDCB4240E3268EF378E34B40,
ГБОУ ДПО МЦПС,Государственное бюджетное образовательное учреждение дополнительного профессионального образования города Москвы «Московский центр «Патриот.Спорт»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:нет
AccreditationSeries:
AccreditationNumber:
AccreditationExpires:

",,действующее,14276,,More then 1 level,7719210793,771801001,1037700137881,бюджетное,Городское подчинение ДОНМ,Кучушев Марат Ряшитович,"107370, ГОРОД МОСКВА, ШОССЕ ОТКРЫТОЕ, ДОМ 6, КОРПУС 12",1047409041,"PublicPhone:(495) 369-25-23

","Email:voenpatriot@edu.mos.ru

",patriotsport.moscow,Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное профессиональное образование # Дополнительное образование | дополнительное образование взрослых,организация дополнительного профессионального образования,,,0101000000DEC6646DB8CD4240CE8E5D420DDC4B40,
ГБОУ ДО ЦТР и МЭО «Радость»,Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Центр творческого развития и музыкально-эстетического образования детей и юношества «Радость»,"LicenseAvailability:да
LicenseSeries:77Л01
LicenseNumber:0012143
LicenseExpires:бессрочная
AccreditationAvailability:нет
AccreditationSeries:
AccreditationNumber:
AccreditationExpires:

",,действующее,13412,,More then 1 level,7712022550,774301001,1037739231947,бюджетное,Городское подчинение ДОНМ,Жданова Татьяна Арамовна,"125008, ГОРОД МОСКВА, УЛИЦА МИХАЛКОВСКАЯ, 22",1047409062,"PublicPhone:(499) 154-50-03

","Email:radost@edu.mos.ru

",radost.mskobr.ru,Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,организация дополнительного образования,,,01010000005C096676BCC34240531CFC127DEB4B40,
ГБОУ ГМЦ ДОНМ,Государственное бюджетное образовательное учреждение города Москвы дополнительного профессионального образования (повышения квалификации) специалистов Городской методический центр Департамента образования и науки города Москвы,"LicenseAvailability:да
LicenseSeries:77Л01
LicenseNumber:0011823
LicenseExpires:бессрочная
AccreditationAvailability:нет
AccreditationSeries:
AccreditationNumber:
AccreditationExpires:

",,действующее,14415,,More then 1 level,7705399348,770501001,1037739144453,бюджетное,Городское подчинение ДОНМ,Зинин Андрей Сергеевич,"109044, ГОРОД МОСКВА, УЛИЦА ВОРОНЦОВСКАЯ, 6А, СТР.1",1047409068,"PublicPhone:(495) 912-63-37

","Email:gmc@edu.mos.ru

",mosmetod.ru,Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное профессиональное образование,организация дополнительного профессионального образования,,,010100000090AF820C26D5424030BAD0E121DF4B40,
ГБОУ ДО ДТДиМ «На Стопани»,Государственное бюджетное образовательное учреждение дополнительного образования города Москвы «Дворец творчества детей и молодежи «На Стопани»,"LicenseAvailability:да
LicenseSeries:77Л01
LicenseNumber:0009416
LicenseExpires:бессрочная
AccreditationAvailability:нет
AccreditationSeries:
AccreditationNumber:
AccreditationExpires:

",,действующее,13452,,More then 1 level,7701113894,770101001,1037739488434,бюджетное,Городское подчинение ДОНМ,Егорова Ирина Григорьевна,"101000, ГОРОД МОСКВА, ПЕРЕУЛОК ОГОРОДНАЯ СЛОБОДА, 6, 1",1047409081,"PublicPhone:(495) 628-41-51

","Email:na-stopani@edu.mos.ru

",na-stopani.mskobr.ru,Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное образование взрослых,организация дополнительного образования,,,0101000000958FD9B23CD2424042CDD652F3E14B40,
ГАПОУ ТК № 24,Государственное автономное профессиональное образовательное учреждение города Москвы «Технологический колледж № 24»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004942
AccreditationExpires:25.03.2026

LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0003793
AccreditationExpires:03.03.2026

",,действующее,13096,24,More then 1 level,7719286023,771901001,1057719017157,автономное,Городское подчинение ДОНМ,Судибор Ирина Васильевна,"105484, ГОРОД МОСКВА, УЛИЦА ПАРКОВАЯ 16-Я, ДОМ 20",1056398232,"PublicPhone:(499) 461-52-19

","Email:spo-24@edu.mos.ru

",kollege24.mskobr.ru,Профессиональное обучение # Профессиональное образование | среднее профессиональное образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное профессиональное образование # Дополнительное образование | дополнительное образование взрослых,профессиональная образовательная организация,,,01010000003F971FF244E6424076CE3665B8DF4B40,
ГБПОУ КАИТ № 20,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Колледж автоматизации и информационных технологий № 20»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004058
AccreditationExpires:30.12.2022

",,действующее,12872,20,More then 1 level,7719286104,771901001,1057719027013,бюджетное,Городское подчинение ДОНМ,Дмитриева Татьяна Ивановна,"105037, г. Москва, ул. 1-я Парковая, д. 12",1056398247,"PublicPhone:(499) 163-40-83

","Email:spo-20@edu.mos.ru

",kait20.mskobr.ru,Профессиональное обучение # Профессиональное образование | среднее профессиональное образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное профессиональное образование # Дополнительное образование | дополнительное образование взрослых,профессиональная образовательная организация,,,0101000000F86ABE821FDD4240AA6D0B3C23E24B40,
ГАОУ ДПО МЦРКПО,Государственное автономное образовательное учреждение дополнительного профессионального образования города Москвы «Московский центр развития кадрового потенциала образования»,"LicenseAvailability:да
LicenseSeries:77Л01
LicenseNumber:0012143
LicenseExpires:бессрочная
AccreditationAvailability:нет
AccreditationSeries:
AccreditationNumber:
AccreditationExpires:

",,действующее,13944,,More then 1 level,7714239823,771301001,1027700566761,автономное,Городское подчинение ДОНМ,Рытов Алексей Иванович,"127422, ГОРОД МОСКВА, УЛИЦА ТИМИРЯЗЕВСКАЯ, ДОМ 36",1056398282,"PublicPhone:(499) 976-59-89

","Email:mcrkpo@edu.mos.ru

",mcrkpo.ru,"Профессиональное образование | высшее образование - бакалавриат # Профессиональное образование | высшее образование - специалитет, магистратура # Профессиональное образование | высшее образование - подготовка кадров высшей квалификации # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное профессиональное образование # Дополнительное образование | дополнительное образование взрослых",организация дополнительного профессионального образования,,,0101000000EC96D0DB47C94240E0E4C90D58E14B40,
ГБПОУ МГКЭИТ,Государственное бюджетное профессиональное образовательное учреждение города Москвы «Московский государственный колледж электромеханики и информационных технологий»,"LicenseAvailability:да
LicenseSeries:реестровая модель
LicenseNumber:реестровая модель
LicenseExpires:бессрочная
AccreditationAvailability:да
AccreditationSeries:77А01
AccreditationNumber:0004792
AccreditationExpires:15.05.2024

",,действующее,13406,,More then 1 level,7724035635,772401001,1027739491790,бюджетное,Городское подчинение ДОНМ,Антонова Тамара Петровна,"115446, ГОРОД МОСКВА, УЛИЦА АКАДЕМИКА МИЛЛИОНЩИКОВА, 20",1056398389,"PublicPhone:(906) 734-21-48

","Email:spo-mgkeit@edu.mos.ru

",mgkeit.mskobr.ru,Профессиональное обучение # Профессиональное образование | среднее профессиональное образование # Дополнительное образование | дополнительное образование детей # Дополнительное образование | дополнительное профессиональное образование # Дополнительное образование | дополнительное образование взрослых,профессиональная образовательная организация,,,0101000000FEE6F06389D24240D1986BF752D54B40,
